"Nom","Name","Codi ISO","Codi ISO Llengua"
"Alemanya","Germany","DE","de"
"Àustria","Austria","AT","de"
"Bèlgica","Belgium","BE","nl,fr,de"
"Bulgària","Bulgaria","BG","bg"
"Xipre","Cyprus","CY","el,tr"
"Croàcia","Croatia","HR","hr"
"Dinamarca","Denmark","DK","da"
"Eslovàquia","Slovakia","SK","sk"
"Eslovènia","Slovenia","SI","sl"
"Espanya","Spain","ES","es"
"Estònia","Estonia","EE","et"
"Finlàndia","Finland","FI","fi,sv"
"França","France","FR","fr"
"Grècia","Greece","GR","el"
"Hongria","Hungary","HU","hu"
"Irlanda","Ireland","IE","en,ga"
"Itàlia","Italy","IT","it"
"Letònia","Latvia","LV","lv"
"Lituània","Lithuania","LT","lt"
"Luxemburg","Luxembourg","LU","lb,fr,de"
"Malta","Malta","MT","mt,en"
"Països Baixos","Netherlands","NL","nl"
"Polònia","Poland","PL","pl"
"Portugal","Portugal","PT","pt"
"Regne Unit","United Kingdom","GB","en"
"República Txeca","Czech Republic","CZ","cs"
"Romania","Romania","RO","ro"
"Suècia","Sweden","SE","sv"
